DISTILLERY,COUNTY,ADDRESS,EIRCODE,NI_POSTCODE,TOURS,WEB_SITE,TWITTER,LAT,LONG,NOTES_PARENT_COMPANY
Ballykeefe Distillery,Kilkenny,"Kyle, Ballykeefe, Cuffsgrange, County Kilkenny, R95 NR50, Ireland",R95 NR50,,Yes,https://ballykeefedistillery.ie, @BallykeefeD,52.602034,-7.375774,Ging Family
Belfast Distillery,Antrim,"Crumlin Road Goal, Crumlin Road, Belfast, BT14 6ST, United Kingdom",,BT14 6ST,No,http://www.belfastdistillery.com, @BDCIreland,54.609718,-5.941994,J&J McConnell
Blacks Distillery,Cork,"Farm Lane, Kinsale, Co. Cork",P17 XW70,,No,https://www.blacksbrewery.com, @BlacksBrewery,51.710969,-8.515579,
Blackwater,Waterford,"Church Road, Ballinlevane East, Ballyduff, Co. Waterford, P51 C5C6",P51 C5C6,,No,https://blackwaterdistillery.ie/, @BlackDistillery,52.147581,-8.052973,
Boann,Louth,"Lagavooren, Platin Rd., Drogheda, Co. Louth, A92 X593",A92 X593,,Yes,http://boanndistillery.ie/, @Boanndistillery,53.69459,-6.366558,Cooney Family
Bow Street,Dublin,"Bow St, Smithfield Village, Dublin 7",D07 N9VH,,Yes,https://www.jamesonwhiskey.com/en-IE/visit-us/jameson-distillery-bow-st, @jamesonireland,53.348415,-6.277266,Pernod Ricard
Bushmills Distillery,Antrim,"2 Distillery Rd, Bushmills BT57 8XH, United Kingdom",,BT57 8XH,Yes,https://bushmills.com, @BushmillsGlobal,55.202936,-6.517221,
Cape Clear,Cork,"Cape Clear Island, Knockannamaurnagh, Skibbereen, Co. Cork",P81 RX70,,No,https://www.capecleardistillery.com/, @capedistillery,51.4509,-9.483047,
Clonakilty,Cork,"The Waterfront, Clonakilty, Co. Cork",P85 EW82,,Yes,https://www.clonakiltydistillery.ie/, @clondistillery,51.62165,-8.885500,Scully Family
Connacht Whiskey Distillery,Mayo,"Belleek, Ballina, Co Mayo, F26 P932",F26 P932,,Yes,https://connachtwhiskey.com, @connachtwhiskey,54.122131,-9.143779,
Cooley Distillery,Louth,"Dundalk Rd, Maddox Garden, Carlingford, Dundalk, Co. Louth",A91 FX98,,Yes,,,53.996544,-6.221563,Beam Suntory
Copeland Distillery,Down,"43 Manor Street, Donaghadee, Co Down, Northern Ireland, BT21 0HG",,BT21 0HG,Yes,https://copelanddistillery.com,@CopelandDistill,54.642699,-5.532739,
Dingle Distillery,Kerry,"Farranredmond, DIngle, Co. Kerry",V92 E7YD,,Yes,https://dingledistillery.ie/, @DingleWhiskey,52.141928,-10.289287,
Dublin Liberties,Dublin,"33 Mill Street, Dublin 8, D08 V221",D08 V221,,Yes,https://thedld.com, @WeAreTheDLD,53.337343,-6.276367,
Echlinville Distillery,Down,"62 Gransha Rd, Kircubbin, Newtownards BT22 1AJ, United Kingdom",,BT22 1AJ,Yes,https://echlinville.com/, @Echlinville,54.46909,-5.509397,
Glendalough,Wicklow,"Unit 9 Newtown Business And Enterprise Centre, Newtown Mount Kennedy, Co. Wicklow, A63 A439",A63 A439,,No,https://www.glendaloughdistillery.com/, @GlendaloughDist,53.085011,-6.1074016,Mark Anthony Brands International
